epoch,accuracy,learning_rate,loss,top5_accuracy,val_accuracy,val_loss,val_top5_accuracy
0,0.20707762241363525,0.0010000000474974513,3.9821043014526367,0.41689497232437134,0.6502283215522766,2.5747063159942627,0.8666666746139526
1,0.6232876777648926,0.0010000000474974513,1.5555542707443237,0.8652967810630798,0.8210045695304871,1.0125126838684082,0.9561643600463867
2,0.7799086570739746,0.0010000000474974513,0.878244161605835,0.9490867853164673,0.8977168798446655,0.5578888058662415,0.983561635017395
3,0.84543377161026,0.0010000000474974513,0.6076228618621826,0.972374439239502,0.9470319747924805,0.3576042652130127,0.9872146248817444
4,0.8906392455101013,0.0010000000474974513,0.4282766282558441,0.9860730767250061,0.9488584399223328,0.28081977367401123,0.9936072826385498
5,0.9175798892974854,0.0010000000474974513,0.3317786157131195,0.9924657344818115,0.9634703397750854,0.21734806895256042,0.992694079875946
6,0.9305936098098755,0.0010000000474974513,0.2703953683376312,0.9949771761894226,0.9616438150405884,0.2031412273645401,0.9954338073730469
7,0.932191789150238,0.0010000000474974513,0.2538539469242096,0.9947488307952881,0.9662100672721863,0.16896702349185944,0.9954338073730469
8,0.9488584399223328,0.0010000000474974513,0.19212211668491364,0.9977169036865234,0.96712327003479,0.15579292178153992,0.9936072826385498
9,0.9557077884674072,0.0010000000474974513,0.17460940778255463,0.9977169036865234,0.9643835425376892,0.15584251284599304,0.9963470101356506
10,0.9513698816299438,0.0010000000474974513,0.17406778037548065,0.9984018206596375,0.9716895222663879,0.13238337635993958,0.9954338073730469
11,0.9550228118896484,0.0010000000474974513,0.16198064386844635,0.9979451894760132,0.9726027250289917,0.12744247913360596,0.9954338073730469
12,0.9616438150405884,0.0010000000474974513,0.14943554997444153,0.9974885582923889,0.9643835425376892,0.14479540288448334,0.9963470101356506
13,0.9618721604347229,0.0010000000474974513,0.13411813974380493,0.9984018206596375,0.96712327003479,0.13224205374717712,0.9954338073730469
