epoch,accuracy,learning_rate,loss,top5_accuracy,val_accuracy,val_loss,val_top5_accuracy
0,0.903134286403656,9.999999747378752e-06,0.17443063855171204,0.9886540770530701,0.867763876914978,0.49589037895202637,0.9772984981536865
1,0.9137710928916931,9.999999747378752e-06,0.1541292667388916,0.9892213940620422,0.8808172345161438,0.4635314643383026,0.9778660535812378
2,0.92057865858078,9.999999747378752e-06,0.13232894241809845,0.990923285484314,0.8825198411941528,0.46497443318367004,0.9784336090087891
3,0.928095281124115,9.999999747378752e-06,0.1146063357591629,0.9930506348609924,0.8876277208328247,0.4522933065891266,0.9807037711143494
4,0.9254006743431091,9.999999747378752e-06,0.11283314228057861,0.9921996593475342,0.8870601654052734,0.4475356638431549,0.9790011644363403
5,0.9316409230232239,9.999999747378752e-06,0.10970913618803024,0.9936179518699646,0.8938705921173096,0.44006022810935974,0.9801362156867981
